path,pred_label,conf_pct,top3_labels,top3_conf
/content/drive/MyDrive/Objective1/GeniusScan/2025-10-01 20-41_page_50.jpg,Canon120-1,65.53,Canon120-1;Canon9000-1;Canon120-2,65.53;20.48;13.33
/content/drive/MyDrive/Objective1/GeniusScan/2025-10-01 20-41_page_51.jpg,Canon120-1,65.45,Canon120-1;Canon120-2;Canon9000-1,65.45;34.26;0.19
/content/drive/MyDrive/Objective1/GeniusScan/2025-10-01 20-41_page_52.jpg,Canon120-1,61.84,Canon120-1;Canon120-2;EpsonV39-2,61.84;36.51;1.22
/content/drive/MyDrive/Objective1/GeniusScan/2025-10-01 20-41_page_53.jpg,Canon120-1,47.22,Canon120-1;Canon120-2;EpsonV39-2,47.22;45.53;3.88
/content/drive/MyDrive/Objective1/GeniusScan/2025-10-01 20-41_page_54.jpg,Canon120-1,98.45,Canon120-1;Canon120-2;Canon9000-2,98.45;0.77;0.45
/content/drive/MyDrive/Objective1/GeniusScan/2025-10-01 20-41_page_55.jpg,Canon120-1,69.57,Canon120-1;Canon120-2;EpsonV39-2,69.57;27.59;1.80
/content/drive/MyDrive/Objective1/GeniusScan/2025-10-01 20-41_page_56.jpg,Canon120-1,87.61,Canon120-1;Canon120-2;EpsonV39-2,87.61;11.66;0.59
/content/drive/MyDrive/Objective1/GeniusScan/2025-10-01 20-41_page_57.jpg,Canon120-1,76.90,Canon120-1;Canon120-2;Canon9000-1,76.90;19.09;2.51
/content/drive/MyDrive/Objective1/GeniusScan/2025-10-01 20-41_page_58.jpg,Canon120-2,39.44,Canon120-2;Canon120-1;EpsonV39-2,39.44;39.28;19.84
/content/drive/MyDrive/Objective1/GeniusScan/2025-10-01 20-41_page_59.jpg,Canon120-1,96.36,Canon120-1;EpsonV39-2;Canon9000-2,96.36;1.46;1.14
/content/drive/MyDrive/Objective1/GeniusScan/2025-10-01 20-41_page_6.jpg,Canon120-1,77.83,Canon120-1;Canon120-2;Canon9000-2,77.83;21.79;0.12
/content/drive/MyDrive/Objective1/GeniusScan/2025-10-01 20-41_page_60.jpg,Canon120-1,60.79,Canon120-1;Canon120-2;Canon220,60.79;38.84;0.13
/content/drive/MyDrive/Objective1/GeniusScan/2025-10-01 20-41_page_7.jpg,Canon120-1,78.81,Canon120-1;EpsonV39-2;Canon120-2,78.81;13.49;7.01
